"","COUNTY","County","FIPS_res","TOTAL_CASES","TOTAL_DEATHS","CASES_BLACK","DEATHS_BLACK","HOSP_BLACK","CASES_WHITE","DEATHS_WHITE","HOSP_WHITE","PERC_CASES_RACE_UNK","PERC_DEATHS_RACE_UNK","PERC_HOSP_RACE_UNK","TOTAL_VAX","TOTAL_VAX_BLACK","TOTAL_VAX_WHITE","PERC_VAX_RACE_UNK","TOTAL_VAX_65","TOTAL_VAX_65_BLACK","TOTAL_VAX_65_WHITE","Total_pop","WHITE_count","BLACK_count","WHITE","BLACK","WHITE_65_count","BLACK_65_count"
"150","Washington","Washington County, Georgia",13303,1608,"54","791","28","68",572,"26","37",12.8731343283582,0,2.77777777777778,2966,"1230",1267,5.32703978422117,1662,"592",803,20436,8691,10755,42.5,52.6,1885,"1405"
"151","Wayne","Wayne County, Georgia",13305,2624,"69","402","17","72",1346,"49","167",28.8109756097561,0,3.11284046692607,4743,"572",3682,1.7921146953405,2773,"299",2253,29788,21200,6030,71.2,20.2,3765,"600"
"152","Webster","Webster County, Georgia",13307,101,"<5","54","<5","7",39,"<5","5",5.94059405940594,0,7.69230769230769,537,"233",255,1.86219739292365,301,"107",168,2610,1353,971,51.8,37.2,300,"190"
"153","Wheeler","Wheeler County, Georgia",13309,452,"21","90","6","13",193,"11","17",31.858407079646,4.76190476190476,8.57142857142857,818,"206",550,0.122249388753056,455,"122",309,7928,4454,3440,56.2,43.4,795,"260"
"154","White","White County, Georgia",13311,2889,"63","47","<5","10",2400,"61","255",12.5995154032537,1.58730158730159,3.886925795053,5374,"51",4980,1.91663565314477,3555,"24",3365,29489,27218,430,92.3,1.5,5875,"<5"
"155","Whitfield","Whitfield County, Georgia",13313,14424,"219","420","9","38",5552,"161","407",23.6896838602329,0.45662100456621,6.32022471910112,17439,"544",13682,1.89231033889558,8761,"288",7579,104237,60904,3918,58.4,3.8,12780,"415"
"156","Wilcox","Wilcox County, Georgia",13315,466,"28","161","9","27",259,"19","34",5.79399141630901,0,7.14285714285714,1166,"315",769,1.45797598627787,620,"153",433,8824,5163,3131,58.5,35.5,1160,"265"
"157","Wilkes","Wilkes County, Georgia",13317,661,"17","304","6","39",250,"11","28",10.590015128593,0,4.22535211267606,1590,"546",853,2.32704402515723,977,"312",569,9844,5014,4193,50.9,42.6,1405,"760"
"158","Wilkinson","Wilkinson County, Georgia",13319,720,"26","297","14","65",293,"11","46",13.1944444444444,0,0.854700854700855,2142,"889",1104,1.02707749766573,1134,"399",667,9010,5109,3509,56.7,38.9,1080,"540"
"159","Worth","Worth County, Georgia",13321,1163,"58","479","19","80",590,"38","83",5.07308684436801,0,0.591715976331361,4158,"1048",2820,1.27465127465127,2375,"531",1687,20494,13793,5741,67.3,28,2875,"750"
